college,collegepop,collegemask
University of Southern Indiana,11033,TRUE
Valparaiso University,4079,TRUE
Vincennes University,18914,TRUE
Wabash College,864,TRUE
Buena Vista University,1982,TRUE
Central College,1237,TRUE
Clarke University,662,TRUE
Coe College,1394,TRUE
Cornell College,1009,TRUE
Dordt University,1534,TRUE
Drake University,4904,TRUE
Graceland University,2262,TRUE
Grinnell College,1712,TRUE
Iowa State University,36321,TRUE
Iowa Wesleyan University,629,TRUE
Loras College,1467,TRUE
Luther College,2053,TRUE
Morningside College,2698,TRUE
Northwestern College,21421,TRUE
Saint Ambrose University,3045,TRUE
Simpson College,296,TRUE
University of Dubuque,2366,TRUE
University of Iowa,32948,TRUE
University of Northern Iowa,11907,TRUE
Upper Iowa University,4943,TRUE
Wartburg College,1529,TRUE
William Penn University,1351,TRUE
Allen County Community College,2379,TRUE
Baker University,1135,TRUE
Benedictine College,2166,TRUE
Bethel College,503,TRUE
Butler Community College,8828,TRUE
Central Christian College,239,TRUE
Dodge City Community College,1548,TRUE
Emporia State University,3405,TRUE
Fort Hays State University,15100,TRUE
Haskell Indian Nations University,806,TRUE
Hesston College,442,TRUE
Hutchinson Community College,5854,TRUE
Johnson County Community College,18638,TRUE
Kansas State University,23779,TRUE
Kansas Wesleyan University,791,TRUE
Labette Community College,2005,TRUE
Newman University,3378,TRUE
Pittsburg State University,6907,TRUE
Southwestern College,608,TRUE
Sterling College,154,TRUE
University of Kansas,28447,TRUE
Washburn University,6691,TRUE
Wichita State University,15075,TRUE
Alice Lloyd College,574,TRUE
Asbury University,1714,TRUE
Ashland Community and Technical College,2542,TRUE
Bellarmine University,2544,TRUE
Berea College,1688,TRUE
Big Sandy Community and Technical College,4347,TRUE
Bluegrass Community and Technical College,9478,TRUE
Campbellsville University,7207,TRUE
Centre College,1450,TRUE
Eastern Kentucky University,15815,TRUE
Elizabethtown Community and Technical College,6868,TRUE
Gateway Community and Technical College,9166,TRUE
Georgetown College,19005,TRUE
Hazard Community and Technical College,3186,TRUE
Henderson Community College,1586,TRUE
Hopkinsville Community College,2640,TRUE
Jefferson Community and Technical College,12000,TRUE
Kentucky State University,1174,TRUE
Kentucky Wesleyan College,798,TRUE
Lexington Theological Seminary,,TRUE
Lindsey Wilson College,2565,TRUE
Madisonville Community College,3345,TRUE
Maysville Community and Technical College,4189,TRUE
Midway University,482,TRUE
Morehead State University,9537,TRUE
Murray State University,8215,TRUE
Northern Kentucky University,14456,TRUE
Owensboro Community and Technical College,3787,TRUE
Somerset Community College,5905,TRUE
Southcentral Kentucky Community and Technical College,4289,TRUE
Southeast Kentucky Community and Technical College,3315,TRUE
Spalding University,2071,TRUE
Thomas More University,2254,TRUE
Transylvania University,968,TRUE
Union College,2189,TRUE
University of Kentucky,22236,TRUE
University of Louisville,15547,TRUE
University of Pikeville,2336,TRUE
University of the Cumberlands,11886,TRUE
West Kentucky Community and Technical College,6038,TRUE
Western Kentucky University,20267,TRUE
Centenary College of Louisiana,588,TRUE
Grambling State University,5191,TRUE
Louisiana College,1196,TRUE
Louisiana State University,29292,TRUE
Louisiana State University Alexandria,3378,TRUE
"Louisiana State University Health Sciences Center, New Orleans",2777,TRUE
"Louisiana State University Health Sciences Center, Shreveport",542,TRUE
"Louisiana State University, Shreveport",5797,TRUE
Louisiana Tech University,12873,TRUE
Hudson Valley Community College,1043,TRUE
Iona College,3792,TRUE
Ithaca College,6516,TRUE
Jamestown Community College,2484,TRUE
Keuka College,1953,TRUE
Le Moyne College,3431,TRUE
Long Island University,6982,TRUE
Manhattan College,4242,TRUE
Manhattanville College,3841,TRUE
Marist College,5699,TRUE
Marymount Manhattan College,2150,TRUE
Medaille College,2198,TRUE
Mercy College,9506,TRUE
Mohawk Valley Community College,6506,TRUE
Molloy College,4980,TRUE
Monroe College,6310,TRUE
Monroe Community College,12907,TRUE
Mount Saint Mary College,2365,TRUE
Nassau Community College,19059,TRUE
Nazareth College,19059,TRUE
Loyola University New Orleans,3188,TRUE
Sarah Lawrence College,1696,TRUE
Schenectady County Community College,6588,TRUE
Siena College,3226,TRUE
Skidmore College,2684,TRUE
St. Bonaventure University,2084,TRUE
St. Francis College,2362,TRUE
St. John Fisher College,3776,TRUE
St. John's University,21340,TRUE
St. Joseph's College Long Island,3966,TRUE
St. Joseph's College New York,,TRUE
St. Lawrence University,2493,TRUE
St. Thomas Aquinas College,1915,TRUE
Stony Brook University,25989,TRUE
Suffolk County Community College,26756,TRUE
Syracuse University,22484,TRUE
The College of Saint Rose,3929,TRUE
"The Graduate Center, CUNY",,TRUE
The New School,10389,TRUE
Tompkins Cortland Community College,2632,TRUE
Touro College,12397,TRUE
Trocaire College,1399,TRUE
Ulster County Community College,3560,TRUE
Union College,868,TRUE
United States Merchant Marine Academy,975,TRUE
United States Military Academy West Point,4389,TRUE
University of Rochester,11648,TRUE
Upstate Medical University,619,TRUE
Utica College,5258,TRUE
Vassar College,2353,TRUE
Wagner College,2271,TRUE
Wells College,488,TRUE
Yeshiva University,6330,TRUE
Appalachian State University,18811,TRUE
Barton College,960,TRUE
Belmont Abbey College,1555,TRUE
Brevard College,677,TRUE
Campbell University,6604,TRUE
Carolinas College of Health Sciences,444,TRUE
Catawba College,1336,TRUE
Chowan University,1503,TRUE
Davidson College,1810,TRUE
Duke University,16130,TRUE
Durham Technical Community College,5415,TRUE
East Carolina University,29131,TRUE
Elizabeth City State University,1411,TRUE
Elon University,6791,TRUE
Fayetteville State University,6226,TRUE
Gardner-Webb University,3818,TRUE
Greensboro College,1001,TRUE
Guilford College,1680,TRUE
High Point University,5000,TRUE
Johnson & Wales University-Charlotte,1892,TRUE
Johnson C Smith University,1483,TRUE
Lees-McRae College,921,TRUE
Lenoir-Rhyne University,2557,TRUE
Livingstone College,1150,TRUE
Mars Hill University,1277,TRUE
Meredith College,1197,TRUE
Methodist University,2259,TRUE
Montreat College,917,TRUE
North Carolina A&T State University,12142,TRUE
North Carolina Central University,8097,TRUE
North Carolina State University,34432,TRUE
North Carolina Wesleyan College,2093,TRUE
Pfeiffer University,1306,TRUE
Queens University of Charlotte,2507,TRUE
Saint Augustine's University,974,TRUE
Salem College,594,TRUE
Shaw University,1660,TRUE
University of Mount Olive,3451,TRUE
New York Chiropractic College,926,TRUE
New York Institute of Technology,7403,TRUE
New York Medical College,1498,TRUE
New York University,51123,TRUE
Niagara County Community College,5439,TRUE
Niagara University,3949,TRUE
Nyack College,2455,TRUE
Onondaga Community College,10659,TRUE
Orange County Community College,6601,TRUE
Pace University,12986,TRUE
Pratt Institute,5035,TRUE
Rensselaer Polytechnic Institute,7592,TRUE
Roberts Wesleyan College,1740,TRUE
Rochester Institute of Technology,13313,TRUE
Rockland Community College,6950,TRUE
Russell Sage College,644,TRUE
SUNY Albany,14957,TRUE
SUNY Alfred State College of Technology,6683,TRUE
SUNY Binghamton,14165,TRUE
SUNY Brockport,8313,TRUE
SUNY Broome Community College,5624,TRUE
SUNY Buffalo State,9516,TRUE
SUNY Canton,1966,TRUE
SUNY Cobleskill,2287,TRUE
SUNY College at Potsdam,3587,TRUE
SUNY College of Environmental Science and Forestry,2209,TRUE
SUNY College of Optometry,413,TRUE
SUNY Corning Community College,3834,TRUE
SUNY Cortland,6913,TRUE
SUNY Delhi,3511,TRUE
SUNY Downstate Health Sciences University,1567,TRUE
SUNY Empire State College,10977,TRUE
SUNY Geneseo,5652,TRUE
SUNY Maritime College,1794,TRUE
SUNY Morrisville,3063,TRUE
SUNY New Paltz,7608,TRUE
SUNY Old Westbury,4910,TRUE
SUNY Oneonta,6358,TRUE
SUNY Oswego,6920,TRUE
SUNY Plattsburgh,5719,TRUE
SUNY Polytechnic Institute,2912,TRUE
SUNY Purchase College,4167,TRUE
SUNY University at Buffalo,30183,TRUE
SUNY Westchester Community College,12571,TRUE
SUNY at Fredonia,4630,TRUE
University of North Carolina Asheville,3600,TRUE
University of North Carolina School of the Arts,1144,TRUE
University of North Carolina Wilmington,16487,TRUE
University of North Carolina at Chapel Hill,29911,TRUE
University of North Carolina at Charlotte,29317,TRUE
University of North Carolina at Greensboro,19922,TRUE
University of North Carolina at Pembroke,6252,TRUE
Wake Forest University,8116,TRUE
Wake Technical Community College,22494,TRUE
Warren Wilson College,677,TRUE
Western Carolina University,11034,TRUE
William Peace University,930,TRUE
Wingate University,3620,TRUE
Winston-Salem State University,5098,TRUE
Bismarck State College,3756,TRUE
Dakota College at Bottineau,909,TRUE
Dickinson State University,1425,TRUE
Lake Region State College,1972,TRUE
Mayville State University,1140,TRUE
Minot State University,3216,TRUE
North Dakota State College,14358,TRUE
North Dakota State College of Science,2985,TRUE
Nueta Hidatsa Sahnish College,228,TRUE
Sitting Bull College,317,TRUE
University of Mary,3396,TRUE
University of North Dakota,14406,TRUE
Valley City State University,1522,TRUE
Williston State College,1098,TRUE
Northern Marianas College,1216,TRUE
Air Force Institute of Technology-Graduate School of Engineering & Management,898,TRUE
Ashland University,6471,TRUE
Baldwin Wallace University,3791,TRUE
Bluffton University,815,TRUE
Bowling Green State University,17357,TRUE
Bowling Green State University Firelands,1970,TRUE
Capital University,3384,TRUE
Case Western Reserve University,11824,TRUE
Cedarville University,3886,TRUE
Central State University,1784,TRUE
Clark State Community College,5783,TRUE
Cleveland State University,16371,TRUE
Columbus College of Art and Design,1075,TRUE
Cuyahoga Community College District,23900,TRUE
Defiance College,614,TRUE
Denison University,2341,TRUE
Franciscan University of Steubenville,2929,TRUE
Heidelberg University,1201,TRUE
Hiram College,1220,TRUE
John Carroll University,3517,TRUE
Kent State University,28972,TRUE
Kent State University Geauga Campus,2249,TRUE
Kent State University at Ashtabula,1974,TRUE
Kent State University at East Liverpool,1175,TRUE
Kent State University at Salem,1695,TRUE
Kent State University at Stark,5010,TRUE
Kent State University at Trumbull,2278,TRUE
Kent State University at Tuscarawas,2131,TRUE
Kenyon College,1677,TRUE
Lake Erie College,1176,TRUE
Lorain County Community College,11042,TRUE
Malone University,1705,TRUE
Marietta College,1145,TRUE
Mount Saint Joseph University,2010,TRUE
Muskingum University,2369,TRUE
North Central State College,3050,TRUE
Northeast Ohio Medical University,930,TRUE
Notre Dame College,1901,TRUE
Oberlin College,2853,TRUE
Ohio Dominican University,1714,TRUE
Ohio Northern University,3088,TRUE
Ohio State University,59837,TRUE
Ohio State University at Mansfield,1061,TRUE
Ohio State University at Newark,2623,TRUE
Ohio State University-Lima Campus,1018,TRUE
Ohio State University-Marion,1198,TRUE
Ohio University,29369,TRUE
Ohio University-Chillicothe,1691,TRUE
Ohio University-Eastern,611,TRUE
Ohio University-Lancaster,1615,TRUE
Ohio University-Southern,1387,TRUE
Ohio University-Zanesville,1204,TRUE
Ohio Wesleyan University,1560,TRUE
Otterbein University,2936,TRUE
Shawnee State University,3582,TRUE
Sinclair Community College,18448,TRUE
The College of Wooster,1980,TRUE
The University of Findlay,4888,TRUE
Tiffin University,3149,TRUE
University of Akron,20169,TRUE
University of Cincinnati,37155,TRUE
University of Cincinnati-Blue Ash College,4779,TRUE
University of Dayton,10882,TRUE
University of Mount Union,2257,TRUE
University of Toledo,20515,TRUE
Ursuline College,1123,TRUE
Walsh University,2759,TRUE
Wilmington College,1169,TRUE
Wittenberg University,1884,TRUE
Wright State University,15957,TRUE
Wright State University-Lake Campus,1037,TRUE
Xavier University,6786,TRUE
Youngstown State University,12521,TRUE
Cameron University,4524,TRUE
East Central University,3719,TRUE
Langston University,2219,TRUE
Northeastern State University,7909,TRUE
Northern Oklahoma College,4276,TRUE
Northwestern Oklahoma State University,2097,TRUE
Oklahoma Baptist University,2093,TRUE
Oklahoma Christian University,2458,TRUE
Oklahoma City University,2845,TRUE
Oklahoma Panhandle State University,1138,TRUE
Oklahoma State University,25295,TRUE
Oklahoma State University Center for Health Sciences,971,TRUE
Oklahoma State University Institute of Technology,2496,TRUE
Oklahoma State University-Oklahoma City,5839,TRUE
Oral Roberts University,3919,TRUE
Rogers State University,3728,TRUE
Southeastern Oklahoma State University,4006,TRUE
Southern Nazarene University,2165,TRUE
Southwestern Oklahoma State University,5448,TRUE
University of Central Oklahoma,15979,TRUE
University of Oklahoma,28527,TRUE
University of Science and Arts of Oklahoma,882,TRUE
University of Tulsa,4433,TRUE
Eastern Oregon University,3016,TRUE
George Fox University,4076,TRUE
Lane Community College,7637,TRUE
Lewis & Clark College,3339,TRUE
Linfield University,1535,TRUE
Linfield University-School of Nursing,344,TRUE
Oregon Health & Science University,2895,TRUE
Oregon Institute of Technology,5486,TRUE
Oregon State University,30896,TRUE
Oregon State University-Cascades,1204,TRUE
Pacific University,3893,TRUE
Portland State University,26693,TRUE
Reed College,1470,TRUE
Southern Oregon University,6191,TRUE
University of Oregon,22887,TRUE
University of Portland,4396,TRUE
Western Oregon University,5336,TRUE
Willamette University,2498,TRUE
Albright College,2036,TRUE
Allegheny College,1802,TRUE
Alvernia University,2838,TRUE
Arcadia University,3811,TRUE
Bloomsburg University of Pennsylvania,9260,TRUE
Bryn Athyn College,335,TRUE
Bryn Mawr College,1640,TRUE
Bucknell University,3678,TRUE
Cabrini University,2305,TRUE
Cairn University,1060,TRUE
California University of Pennsylvania,7788,TRUE
Carnegie Mellon University,13869,TRUE
Cedar Crest College,1664,TRUE
Chatham University,2269,TRUE
Chestnut Hill College,1846,TRUE
Cheyney University of Pennsylvania,755,TRUE
Clarion University of Pennsylvania,5225,TRUE
Clarks Summit University,741,TRUE
Community College of Allegheny County,16147,TRUE
DeSales University,3315,TRUE
Delaware Valley University,2422,TRUE
Dickinson College,2382,TRUE
Drexel University,24190,TRUE
Duquesne University,9190,TRUE
East Stroudsburg University,6742,TRUE
Eastern University,3291,TRUE
Edinboro University,5574,TRUE
Elizabethtown College,1735,TRUE
Franklin and Marshall College,2283,TRUE
Gannon University,4149,TRUE
Geneva College,1598,TRUE
Gettysburg College,2411,TRUE
Grove City College,2373,TRUE
Gwynedd Mercy University,2808,TRUE
Haverford College,1296,TRUE
Holy Family University,3081,TRUE
Immaculata University,2481,TRUE
Indiana University of Pennsylvania,12431,TRUE
Juniata College,1495,TRUE
Keystone College,1523,TRUE
King's College,2469,TRUE
Kutztown University,8329,TRUE
La Roche University,1535,TRUE
La Salle University,5197,TRUE
Lafayette College,2594,TRUE
Lancaster Bible College,2064,TRUE
Lebanon Valley College,1910,TRUE
Lehigh University,7017,TRUE
Lincoln University,657,TRUE
Lock Haven University,3827,TRUE
Lycoming College,1217,TRUE
Mansfield University of Pennsylvania,1882,TRUE
Marywood University,2930,TRUE
Mercyhurst University,2759,TRUE
Messiah University,3331,TRUE
Millersville University of Pennsylvania,7720,TRUE
Misericordia University,2708,TRUE
Moravian College,2446,TRUE
Mount Aloysius College,1740,TRUE
Muhlenberg College,2367,TRUE
Neumann University,2367,TRUE
Penn State University,98783,TRUE
Penn State University Abington,3893,TRUE
Penn State University Altoona,3482,TRUE
Penn State University Beaver,655,TRUE
Penn State University Behrend,4502,TRUE
Penn State University Berks,2719,TRUE
Penn State University Brandywine,1438,TRUE
Penn State University College of Medicine,929,TRUE
Penn State University Dickinson Law,194,TRUE
Penn State University DuBois,585,TRUE
Penn State University Fayette,652,TRUE
Penn State University Great Valley,387,TRUE
Penn State University Greater Allegheny,497,TRUE
Penn State University Harrisburg,5077,TRUE
Penn State University Hazleton,755,TRUE
Penn State University Lehigh Valley,919,TRUE
Penn State University Mont Alto,917,TRUE
Penn State University New Kensington,595,TRUE
Penn State University Schuylkill,732,TRUE
Penn State University Scranton,1029,TRUE
Penn State University Shenango,490,TRUE
Penn State University Wilkes-Barre,467,TRUE
Penn State University York,983,TRUE
Pennsylvania College of Technology,5457,TRUE
Point Park University,4224,TRUE
Robert Morris University,5076,TRUE
Rosemont College,1008,TRUE
Saint Francis University,2680,TRUE
Saint Joseph's University,8085,TRUE
Saint Vincent College,1865,TRUE
Seton Hill University,2470,TRUE
Shippensburg University of Pennsylvania,6570,TRUE
Slippery Rock University of Pennsylvania,8866,TRUE
Susquehanna University,2349,TRUE
Swarthmore College,1577,TRUE
Temple University,39937,TRUE
Thiel College,766,TRUE
Thomas Jefferson University,4028,TRUE
University of Pennsylvania,25367,TRUE
University of Pittsburgh,28642,TRUE
University of Pittsburgh Johnstown,2784,TRUE
University of Pittsburgh at Bradford,1336,TRUE
University of Pittsburgh at Greensburg,1523,TRUE
University of Scranton,5373,TRUE
University of Valley Forge,763,TRUE
University of the Sciences,2359,TRUE
Ursinus College,1507,TRUE
Villanova University,10967,TRUE
Washington & Jefferson College,1412,TRUE
Waynesburg University,1736,TRUE
West Chester University,17306,TRUE
Westminster College,767,TRUE
Widener University,6518,TRUE
Wilkes University,5545,TRUE
Wilson College,1216,TRUE
York College of Pennsylvania,4415,TRUE
Colegio Universitario de San Juan,1480,TRUE
Conservatory of Music of Puerto Rico,466,TRUE
Escuela de Artes Plasticas y Diseno de Puerto Rico,497,TRUE
University of Puerto Rico at Aguadilla,4219,TRUE
University of Puerto Rico at Arecibo,3799,TRUE
University of Puerto Rico at Bayamon,4531,TRUE
University of Puerto Rico at Carolina,3792,TRUE
University of Puerto Rico at Cayey,3496,TRUE
University of Puerto Rico at Humacao,3723,TRUE
University of Puerto Rico at Mayaguez,13481,TRUE
University of Puerto Rico at Ponce,3630,TRUE
University of Puerto Rico at Rio Piedras,15098,TRUE
University of Puerto Rico at Utuado,1750,TRUE
"University of Puerto Rico, Medical Sciences",2273,TRUE
Brown University,10095,TRUE
Bryant University,3751,TRUE
Johnson & Wales University,8563,TRUE
Providence College,4645,TRUE
Rhode Island College,8171,TRUE
Rhode Island School of Design,2440,TRUE
Roger Williams University,5024,TRUE
Salve Regina University,2823,TRUE
University of Rhode Island,18089,TRUE
Anderson University,1877,TRUE
Benedict College,2090,TRUE
Charleston Southern University,3492,TRUE
Claflin University,2129,TRUE
Clemson University,24387,TRUE
Coastal Carolina University,10663,TRUE
Coker University,1109,TRUE
College of Charleston,10863,TRUE
Converse College,1478,TRUE
Erskine College,694,TRUE
Francis Marion University,3786,TRUE
Furman University,2949,TRUE
Greenville Technical College,11745,TRUE
Lander University,2849,TRUE
Limestone College,2661,TRUE
Medical University of South Carolina,2985,TRUE
Newberry College,1181,TRUE
North Greenville University,2565,TRUE
Presbyterian College,1280,TRUE
South Carolina State University,2942,TRUE
Southern Wesleyan University,1688,TRUE
The Citadel,2923,TRUE
University of South Carolina,34731,TRUE
University of South Carolina Aiken,3506,TRUE
University of South Carolina Beaufort,2077,TRUE
University of South Carolina Upstate,5990,TRUE
Winthrop University,6073,TRUE
Wofford College,1678,TRUE
Augustana University,2080,TRUE
Black Hills State University,4178,TRUE
Dakota State University,3307,TRUE
Mount Marty College,1048,TRUE
Northern State University,3611,TRUE
Oglala Lakota College,1246,TRUE
Sinte Gleska University,581,TRUE
South Dakota School of Mines and Technology,2778,TRUE
South Dakota State University,12516,TRUE
University of Sioux Falls,1453,TRUE
University of South Dakota,10261,TRUE
Austin Peay State University,10463,TRUE
Belmont University,8012,TRUE
Bethel University,3797,TRUE
Carson-Newman University,2514,TRUE
Chattanooga State Community College,8152,TRUE
Christian Brothers University,2157,TRUE
Cleveland State Community College,3005,TRUE
Columbia State Community College,5938,TRUE
Cumberland University,2314,TRUE
Dyersburg State Community College,2843,TRUE
East Tennessee State University,14353,TRUE
Jackson State Community College,4746,TRUE
King University,2162,TRUE
Lane College,1420,TRUE
LeMoyne-Owen College,863,TRUE
Lee University,5370,TRUE
Lincoln Memorial University,4770,TRUE
Lipscomb University,4642,TRUE
Maryville College,1181,TRUE
Middle Tennessee State University,21913,TRUE
Milligan University,1171,TRUE
Motlow State Community College,6594,TRUE
Nashville State Community College,8197,TRUE
Northeast State Community College,6088,TRUE
Pellissippi State Community College,11168,TRUE
Rhodes College,2010,TRUE
Roane State Community College,5626,TRUE
Southern Adventist University,3035,TRUE
Southwest Tennessee Community College,9099,TRUE
Tennessee College of Applied Technology-Athens,386,TRUE
Tennessee College of Applied Technology-Covington,318,TRUE
Tennessee College of Applied Technology-Crossville,335,TRUE
Tennessee College of Applied Technology-Crump,403,TRUE
Tennessee College of Applied Technology-Dickson,582,TRUE
Tennessee College of Applied Technology-Elizabethton,458,TRUE
Tennessee College of Applied Technology-Harriman,281,TRUE
Tennessee College of Applied Technology-Hartsville,712,TRUE
Tennessee College of Applied Technology-Hohenwald,577,TRUE
Tennessee College of Applied Technology-Jacksboro,256,TRUE
Tennessee College of Applied Technology-Jackson,547,TRUE
Tennessee College of Applied Technology-Knoxville,1137,TRUE
Tennessee College of Applied Technology-Livingston,1075,TRUE
Tennessee College of Applied Technology-McKenzie,176,TRUE
Tennessee College of Applied Technology-McMinnville,258,TRUE
Tennessee College of Applied Technology-Memphis,843,TRUE
Tennessee College of Applied Technology-Morristown,672,TRUE
Tennessee College of Applied Technology-Murfreesboro,491,TRUE
Tennessee College of Applied Technology-Nashville,806,TRUE
Tennessee College of Applied Technology-Newbern,413,TRUE
Tennessee College of Applied Technology-Oneida/Huntsville,276,TRUE
Tennessee College of Applied Technology-Paris,271,TRUE
Tennessee College of Applied Technology-Pulaski,592,TRUE
Tennessee College of Applied Technology-Ripley,205,TRUE
Tennessee College of Applied Technology-Shelbyville,485,TRUE
Tennessee College of Applied Technology-Whiteville,278,TRUE
Tennessee State University,8177,TRUE
Tennessee Technological University,10504,TRUE
The University of the South,1778,TRUE
Trevecca Nazarene University,3620,TRUE
Tusculum University,1767,TRUE
Union University,3377,TRUE
University of Memphis,21521,TRUE
University of Tennessee Health Science Center,3199,TRUE
University of Tennessee at Chattanooga,11587,TRUE
University of Tennessee at Martin,6772,TRUE
"University of Tennessee, Knoxville",28321,TRUE
Vanderbilt University,12592,TRUE
Volunteer State Community College,8838,TRUE
Walters State Community College,6075,TRUE
Abilene Christian University,5145,TRUE
Angelo State University,10417,TRUE
Austin College,1228,TRUE
Austin Community College District,40803,TRUE
Baylor University,17059,TRUE
Blinn College,19476,TRUE
Brazosport College,4245,TRUE
Collin College McKinney,31666,TRUE
Concordia University Texas,2620,TRUE
Dallas Baptist University,5067,TRUE
East Texas Baptist University,1533,TRUE
Galveston College,2208,TRUE
Grayson College,4389,TRUE
Hardin-Simmons University,2252,TRUE
Hill College,4236,TRUE
Houston Baptist University,3325,TRUE
Howard Payne University,1072,TRUE
Lamar University,14506,TRUE
Laredo College,9881,TRUE
LeTourneau University,3003,TRUE
Lubbock Christian University,1883,TRUE
McLennan Community College,8880,TRUE
McMurry University,1108,TRUE
Midland College,5564,TRUE
Midwestern State University,6080,TRUE
Odessa College,6282,TRUE
Prairie View A&M University,9219,TRUE
Rice University,7022,TRUE
Saint Edward's University,4447,TRUE
Sam Houston State University,20938,TRUE
Schreiner University,1312,TRUE
South Texas College,31321,TRUE
Southern Methodist University,11789,TRUE
Southwestern University,1396,TRUE
St. Mary's University,3649,TRUE
Stephen F. Austin State University,12614,TRUE
Sul Ross State University,2946,TRUE
Tarleton State University,13019,TRUE
Texas A&M International University,7654,TRUE
Texas A&M University,68625,TRUE
Texas A&M University-Central Texas,2652,TRUE
Texas A&M University-Commerce,13244,TRUE
Texas A&M University-Corpus Christi,11929,TRUE
Texas A&M University-Kingsville,6174,TRUE
Texas A&M University-San Antonio,,TRUE
Texas A&M University-Texarkana,,TRUE
Texas Christian University,10489,TRUE
Texas College,983,TRUE
Texas Lutheran University,1394,TRUE
Texas Southern University,10237,TRUE
Texas State University,38666,TRUE
Texas Tech University,36996,TRUE
Texas Tech University Health Sciences Center,5453,TRUE
Texas Tech University Health Sciences Center El Paso,,TRUE
Texas Wesleyan University,2396,TRUE
Texas Woman’s University,15473,TRUE
Trinity University,2571,TRUE
Tyler Junior College,11649,TRUE
University of Dallas,2510,TRUE
University of Houston,45364,TRUE
University of Houston-Clear Lake,8542,TRUE
University of Houston-Downtown,13919,TRUE
University of Houston-Victoria,4353,TRUE
University of Mary Hardin at Baylor,3914,TRUE
University of North Texas,38276,TRUE
University of North Texas Health Science Center,2285,TRUE
University of North Texas at Dallas,3509,TRUE
University of St. Thomas,9878,TRUE
University of Texas Health Science Center at Houston,5242,TRUE
University of Texas Health Science Center at San Antonio,3277,TRUE
University of Texas Health Science Center at Tyler,35,TRUE
University of Texas MD Anderson Cancer Center,357,TRUE
University of Texas Medical Branch at Galveston,3302,TRUE
University of Texas Permian Basin,7022,TRUE
University of Texas Rio Grande Valley,27809,TRUE
University of Texas Southwestern Medical Center,2238,TRUE
University of Texas at Arlington,46497,TRUE
University of Texas at Austin,51525,TRUE
University of Texas at Dallas,27642,TRUE
University of Texas at El Paso,25078,TRUE
University of Texas at San Antonio,30768,TRUE
University of Texas at Tyler,10402,TRUE
University of the Incarnate Word,8603,TRUE
Wayland Baptist University,4847,TRUE
West Texas A&M University,10060,TRUE
Brigham Young University,34334,TRUE
Dixie State University,9673,TRUE
Salt Lake Community College,29620,TRUE
Snow College,5563,TRUE
Southern Utah University,9468,TRUE
University of Utah,32800,TRUE
Utah State University,27679,TRUE
Utah Valley University,37282,TRUE
Weber State University,27949,TRUE
Westminster College,767,TRUE
Bennington College,851,TRUE
Castleton University,2141,TRUE
Champlain College,4749,TRUE
Landmark College,461,TRUE
Middlebury College,2591,TRUE
Northern Vermont University-Johnson,1925,TRUE
Northern Vermont University-Lyndon,1200,TRUE
Norwich University,4100,TRUE
Saint Michael's College,2077,TRUE
University of Vermont,13340,TRUE
Vermont Technical College,1616,TRUE
University of the Virgin Islands,2170,TRUE
Averett University,927,TRUE
Bluefield College,997,TRUE
Bridgewater College,1889,TRUE
Christopher Newport University,5081,TRUE
Danville Community College,3101,TRUE
Eastern Mennonite University,1530,TRUE
Eastern Virginia Medical School,1256,TRUE
Emory & Henry College,1226,TRUE
Ferrum College,1137,TRUE
George Mason University,35984,TRUE
Hampden-Sydney College,1046,TRUE
Hampton University,4618,TRUE
Hollins University,790,TRUE
James Madison University,21836,TRUE
Liberty University,75044,TRUE
Longwood University,5074,TRUE
Mary Baldwin University,1654,TRUE
Marymount University,3375,TRUE
Norfolk State University,5305,TRUE
Old Dominion University,24375,TRUE
Radford University,9418,TRUE
Randolph College,684,TRUE
Randolph-Macon College,1453,TRUE
Roanoke College,2035,TRUE
Shenandoah University,3844,TRUE
Southern Virginia University,911,TRUE
Sweet Briar College,323,TRUE
University of Lynchburg,2810,TRUE
University of Mary Washington,4808,TRUE
University of Richmond,4023,TRUE
University of Virginia,24360,TRUE
University of Virginia's College at Wise,2095,TRUE
Virginia Commonwealth University,30675,TRUE
Virginia Highlands Community College,2328,TRUE
Virginia Military Institute,1722,TRUE
Virginia State University,4713,TRUE
Virginia Tech,1621,TRUE
Virginia Union University,1674,TRUE
Virginia Wesleyan University,1470,TRUE
Washington and Lee University,2220,TRUE
William & Mary,8740,TRUE
American University,13858,TRUE
Catholic University of America,6023,TRUE
Gallaudet University,1578,TRUE
George Washington University,27973,TRUE
Georgetown University,19005,TRUE
Howard University,9392,TRUE
Trinity Washington University,1964,TRUE
University of the District of Columbia,4247,TRUE
Bellevue College,13322,TRUE
Bellingham Technical College,2392,TRUE
Cascadia College,3425,TRUE
Central Washington University,12901,TRUE
Centralia College,3122,TRUE
Clark College,10000,TRUE
Clover Park Technical College,3883,TRUE
Columbia Basin College,6708,TRUE
Eastern Washington University,12607,TRUE
Edmonds College,8100,TRUE
Everett Community College,7740,TRUE
Evergreen State College,3907,TRUE
Gonzaga University,7506,TRUE
Grays Harbor College,1971,TRUE
Green River College,8048,TRUE
Highline College,6824,TRUE
Lake Washington Institute of Technology,3697,TRUE
Lower Columbia College,2935,TRUE
North Seattle College,6259,TRUE
Northwest Indian College,544,TRUE
Olympic College,6476,TRUE
Pacific Lutheran University,3122,TRUE
Peninsula College,2094,TRUE
Pierce College Fort Steilacoom,6048,TRUE
Renton Technical College,3763,TRUE
